userId,timestamp,origin_lat,origin_lon,origin_category,destination_lat,destination_lon,destination_category
887,2025-05-28 07:30:00,40.76113,-73.98048,Office,40.73986,-74.042294,Restaurant
887,2025-05-28 12:00:00,40.73986,-74.042294,Restaurant,40.76113,-73.98048,Office
887,2025-05-28 13:30:00,40.76113,-73.98048,Office,40.76113,-73.98048,Office
887,2025-05-28 17:30:00,40.76113,-73.98048,Office,40.743467,-74.028936,Gym / Fitness Center
887,2025-05-28 19:00:00,40.743467,-74.028936,Gym / Fitness Center,40.73986,-74.042294,Restaurant
887,2025-05-28 20:30:00,40.73986,-74.042294,Restaurant,40.755998,-73.99115,Bar
887,2025-05-28 22:00:00,40.755998,-73.99115,Bar,40.737741,-74.033078,Bar
887,2025-05-28 23:30:00,40.737741,-74.033078,Bar,40.736199,-74.029172,Bar
887,2025-05-29 01:00:00,40.736199,-74.029172,Bar,40.738275,-74.035961,Bar
887,2025-05-29 02:30:00,40.738275,-74.035961,Bar,40.743503,-74.029154,Bar
887,2025-05-29 03:30:00,40.743503,-74.029154,Bar,40.737661,-74.031302,Bar
