userId,score
1000,1.0
1001,0.85
1002,0.9
1003,0.87
1004,0.8
1005,0.86
1006,0.88
1007,0.84
1008,0.84
1009,0.8
100,0.86
1010,0.85
1011,0.8
1012,0.87
1013,0.87
1014,0.92
1015,0.84
1016,0.88
1017,0.84
1018,0.85
1019,0.88
101,0.86
1020,0.92
1021,0.84
1022,0.88
1023,0.85
1024,0.9
1025,0.86
1026,0.84
1027,0.88
1028,0.84
1029,0.84
102,0.88
1030,0.87
1031,0.86
1032,0.84
1033,0.87
1034,0.84
1035,0.84
1036,0.83
1037,0.94
1038,0.8
1039,0.85
103,0.84
1040,0.85
1041,0.85
1042,0.85
1043,0.84
1044,0.88
1045,0.8
1046,0.88
1047,0.85
1048,0.8
1049,0.88
104,0.9
1050,0.88
1051,0.92
1052,0.85
1053,0.92
1054,0.88
1055,0.85
1056,0.88
1057,0.84
1058,0.85
1059,0.8
105,0.95
1060,0.82
1061,0.85
1062,0.85
1063,0.87
1064,0.84
1065,0.8
1066,0.92
1067,0.9
1068,0.92
1069,0.92
106,0.84
1070,0.8
1071,0.92
1072,0.88
1073,0.88
1074,0.92
1075,0.9
1076,0.85
1077,0.8
1078,1.0
1079,0.9
107,1.0
1080,0.86
1081,0.88
1082,0.84
1083,0.8
108,0.83
109,0.82
10,0.84
110,0.9
111,0.9
112,0.85
113,0.92
114,0.9
115,0.88
116,0.8
117,0.85
118,0.85
119,0.88
11,0.88
120,0.88
121,0.9
122,0.8
123,0.84
124,0.88
125,0.85
126,0.84
127,0.88
128,0.86
129,0.88
12,0.85
130,0.84
131,0.88
132,0.92
133,0.85
134,0.84
135,0.84
136,0.84
137,0.82
138,0.84
139,0.8
13,0.9
140,0.9
141,0.85
142,0.85
143,0.9
144,0.88
145,0.84
146,0.8
147,0.88
148,0.8
149,0.84
14,0.88
150,0.85
151,0.84
152,0.8
153,0.8
154,0.85
155,0.84
156,0.84
157,0.84
158,0.85
159,0.9
15,0.8
160,0.84
161,0.85
162,0.84
163,0.88
164,0.87
165,0.8
166,0.84
167,0.8
168,0.86
169,0.87
16,0.85
170,0.88
171,0.84
172,0.88
173,0.84
174,0.92
175,0.83
176,0.86
177,0.85
178,0.83
179,0.84
17,0.85
180,0.85
181,0.85
182,0.88
183,0.88
184,0.92
185,0.83
186,0.86
187,0.82
188,0.84
189,0.88
18,0.84
190,0.8
191,0.84
192,0.85
193,0.84
194,0.85
195,0.83
196,0.84
197,0.84
198,0.85
199,0.8
19,0.84
1,0.84
200,0.85
201,0.89
202,0.8
203,0.85
204,0.86
205,0.92
206,0.8
207,0.85
208,0.84
209,0.85
20,0.85
211,0.87
212,0.85
213,0.92
214,0.82
215,0.85
216,0.84
217,0.92
218,0.85
219,0.82
21,0.88
220,0.84
221,0.84
222,0.84
223,0.8
224,0.84
225,0.97
226,0.85
227,0.85
228,0.92
229,0.83
22,0.8
230,0.84
231,0.92
232,0.84
233,0.8
234,0.84
235,0.84
236,0.85
237,0.9
238,0.92
239,0.84
23,0.82
240,0.9
241,0.82
242,0.86
243,0.84
244,0.85
245,0.84
246,0.8
247,0.8
248,0.88
249,0.85
24,0.84
250,0.84
251,0.88
252,0.86
253,0.85
254,0.85
255,0.84
256,0.84
257,0.87
258,0.88
259,0.83
25,0.9
260,0.88
261,1.0
262,0.8
263,0.85
264,0.85
265,0.88
266,0.84
267,0.92
268,0.92
269,0.88
26,0.85
270,0.88
271,0.8
272,0.82
273,0.88
274,0.94
275,0.92
276,0.82
277,0.88
278,0.85
279,0.85
27,0.8
280,0.9
281,0.88
282,0.84
283,0.92
284,0.8
285,0.85
286,0.85
287,0.92
288,0.9
289,0.86
28,0.8
290,0.85
291,0.84
292,0.82
293,0.92
294,0.88
295,0.84
296,0.85
297,0.84
298,0.88
299,0.84
29,0.82
2,0.85
300,0.85
301,0.85
302,0.84
303,0.87
304,0.81
305,0.85
306,0.82
307,1.0
308,0.85
309,0.82
30,0.95
310,0.88
311,0.85
312,0.92
313,0.88
314,0.84
315,0.85
316,0.85
317,0.88
318,0.85
319,0.85
31,0.86
320,0.84
321,0.84
322,0.9
323,0.84
324,0.88
325,0.84
326,0.86
327,0.9
328,0.84
329,0.85
32,0.8
330,0.84
331,0.82
332,0.82
333,0.92
334,0.83
335,0.82
336,0.84
337,0.8
338,0.88
339,0.84
33,0.92
340,0.8
341,0.88
342,0.92
343,0.84
344,0.87
345,0.84
346,0.84
347,0.92
348,0.8
349,0.89
34,0.83
350,0.8
351,0.84
352,0.84
353,0.85
354,0.84
355,0.8
356,0.86
357,0.84
358,0.88
359,0.8
35,0.84
360,0.86
361,0.82
362,0.87
363,0.85
364,0.85
365,0.92
366,0.92
367,0.8
368,0.86
369,0.96
36,0.88
370,0.84
371,0.9
372,0.88
373,0.84
374,0.86
375,0.85
376,0.85
377,0.9
378,0.84
379,0.83
37,0.88
380,0.84
381,0.83
382,0.88
383,0.86
384,0.88
385,0.84
386,0.81
387,0.85
388,0.85
389,0.87
38,0.88
390,0.84
391,0.84
392,0.8
393,0.86
394,0.9
395,0.92
396,0.95
397,0.87
398,0.9
399,0.88
39,0.84
3,0.84
400,0.87
401,0.85
402,0.87
403,0.82
404,0.84
405,0.88
406,0.9
407,0.82
408,0.98
409,0.85
40,0.87
410,0.85
411,0.9
412,0.88
413,0.84
414,0.8
415,0.84
416,0.82
417,0.94
418,0.8
419,0.88
41,0.92
420,0.8
422,0.92
423,0.9
424,0.84
425,0.84
426,0.88
427,0.84
428,0.88
429,0.84
42,0.8
430,0.85
431,0.84
432,0.85
