userId,times_arr,origin_lat,origin_lon,origin_category,time_dep,destination_lat,destination_lon,destination_category
1000,2025-05-19 07:00:00,40.817804,-73.803599,Home,2025-05-19 07:30:00,40.703838,-73.948706,Café
1000,2025-05-19 07:30:00,40.703838,-73.948706,Café,2025-05-19 08:00:00,40.699023,-73.810015,Train Station
1000,2025-05-19 08:00:00,40.699023,-73.810015,Train Station,2025-05-19 08:30:00,40.750795,-73.993576,Work
1000,2025-05-19 08:30:00,40.750795,-73.993576,Work,2025-05-19 12:00:00,40.701987,-73.801047,Lunch Spot
1000,2025-05-19 12:00:00,40.701987,-73.801047,Lunch Spot,2025-05-19 13:00:00,40.750795,-73.993576,Work
1000,2025-05-19 13:00:00,40.750795,-73.993576,Work,2025-05-19 17:00:00,40.699023,-73.810015,Train Station
1000,2025-05-19 17:00:00,40.699023,-73.810015,Train Station,2025-05-19 17:30:00,40.828277,-73.926553,Stadium
1000,2025-05-19 17:30:00,40.828277,-73.926553,Stadium,2025-05-19 19:30:00,40.803837,-73.928933,Dinner Spot
1000,2025-05-19 19:30:00,40.803837,-73.928933,Dinner Spot,2025-05-19 21:00:00,40.817804,-73.803599,Home
1000,2025-05-19 21:00:00,40.817804,-73.803599,Home,2025-05-19 22:30:00,40.574131,-73.97511,After-hours Spot
1001,2025-05-19 07:30:00,40.738681,-73.988498,Gym / Fitness Center,2025-05-19 08:30:00,40.743695,-74.00341,Coffee Shop
1001,2025-05-19 08:30:00,40.743695,-74.00341,Coffee Shop,2025-05-19 09:30:00,40.738307,-73.981808,College Academic Building
1001,2025-05-19 09:30:00,40.738307,-73.981808,College Academic Building,2025-05-19 12:00:00,40.772366,-73.955754,Food & Drink Shop
1001,2025-05-19 12:00:00,40.772366,-73.955754,Food & Drink Shop,2025-05-19 13:00:00,40.724064,-73.993669,American Restaurant
1001,2025-05-19 13:00:00,40.724064,-73.993669,American Restaurant,2025-05-19 15:00:00,40.742386,-73.990702,Gym / Fitness Center
1001,2025-05-19 15:00:00,40.742386,-73.990702,Gym / Fitness Center,2025-05-19 17:00:00,40.661453,-73.979585,Movie Theater
1001,2025-05-19 17:00:00,40.661453,-73.979585,Movie Theater,2025-05-19 19:30:00,40.707921,-74.006076,Korean Restaurant
1001,2025-05-19 19:30:00,40.707921,-74.006076,Korean Restaurant,2025-05-19 21:00:00,40.713435,-74.006141,Park
1001,2025-05-19 21:00:00,40.713435,-74.006141,Park,2025-05-19 22:30:00,40.784663,-73.979321,Food & Drink Shop
1002,2025-05-19 07:30:00,40.898591,-73.847787,Home,2025-05-19 08:00:00,40.898472,-73.85451,Coffee Shop
1002,2025-05-19 08:00:00,40.898472,-73.85451,Coffee Shop,2025-05-19 09:00:00,40.742016,-74.005163,Food & Drink Shop
1002,2025-05-19 09:00:00,40.742016,-74.005163,Food & Drink Shop,2025-05-19 10:30:00,40.740778,-73.987683,Burger Joint
1002,2025-05-19 10:30:00,40.740778,-73.987683,Burger Joint,2025-05-19 12:00:00,40.74245,-74.005766,Ice Cream Shop
1002,2025-05-19 12:00:00,40.74245,-74.005766,Ice Cream Shop,2025-05-19 13:30:00,40.743911,-73.995203,Food & Drink Shop
1002,2025-05-19 13:30:00,40.743911,-73.995203,Food & Drink Shop,2025-05-19 15:00:00,40.752428,-73.994105,Mexican Restaurant
1002,2025-05-19 15:00:00,40.752428,-73.994105,Mexican Restaurant,2025-05-19 17:00:00,40.921564,-73.854349,Pizza Place
1002,2025-05-19 17:00:00,40.921564,-73.854349,Pizza Place,2025-05-19 19:00:00,40.734381,-73.985037,Church
1002,2025-05-19 19:00:00,40.734381,-73.985037,Church,2025-05-19 20:30:00,40.753638,-73.992464,Fast Food Restaurant
1002,2025-05-19 20:30:00,40.753638,-73.992464,Fast Food Restaurant,2025-05-19 21:30:00,40.898591,-73.847787,Home
1003,2025-05-19 07:30:00,40.698637,-73.837574,Residential Building (Apartment / Condo),2025-05-19 08:00:00,40.683393,-73.883504,Deli / Bodega
1003,2025-05-19 08:00:00,40.683393,-73.883504,Deli / Bodega,2025-05-19 08:15:00,40.712929,-73.872014,Drugstore / Pharmacy
1003,2025-05-19 08:15:00,40.712929,-73.872014,Drugstore / Pharmacy,2025-05-19 09:00:00,40.743901,-73.9235,Fast Food Restaurant
1003,2025-05-19 09:00:00,40.743901,-73.9235,Fast Food Restaurant,2025-05-19 10:30:00,40.713139,-73.876045,Food & Drink Shop
1003,2025-05-19 10:30:00,40.713139,-73.876045,Food & Drink Shop,2025-05-19 11:30:00,40.695498,-73.840399,Chinese Restaurant
1003,2025-05-19 11:30:00,40.695498,-73.840399,Chinese Restaurant,2025-05-19 13:00:00,40.68281,-73.883561,Deli / Bodega
1003,2025-05-19 13:00:00,40.68281,-73.883561,Deli / Bodega,2025-05-19 14:30:00,40.732084,-73.866328,Fast Food Restaurant
